Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy
1,0.6727638840675354,0.6912110149860382,57.53968253968254,59.25925925925926
2,0.5526247024536133,0.6268612593412399,69.84126984126983,66.66666666666667
3,0.46316805481910706,0.6166295483708382,82.14285714285714,77.77777777777777
4,0.3190167862921953,0.659206286072731,89.28571428571429,85.18518518518519
5,0.20477668289095163,0.5933310519903898,93.25396825396825,85.18518518518519
6,0.1364830145612359,0.6575980084016919,94.84126984126983,87.03703703703704
7,0.05599354044534266,0.6896379194222391,98.01587301587301,87.03703703703704
8,0.04132272093556821,0.5918453319463879,99.2063492063492,88.88888888888889
9,0.023109913803637028,0.4520925283432007,100.0,88.88888888888889
10,0.07218817458488047,0.7604177219327539,98.01587301587301,85.18518518518519
